[2024-06-19 15:33:05,749: INFO: main: Welcome to our Custom Logging]
[2024-06-20 09:48:48,953: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-06-20 09:48:48,955: INFO: common: yaml file: params.yaml loaded successfully]
[2024-06-20 09:50:29,549: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-06-20 09:50:29,562: INFO: common: yaml file: params.yaml loaded successfully]
[2024-06-20 09:53:47,113: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-06-20 09:53:47,115: INFO: common: yaml file: params.yaml loaded successfully]
[2024-06-20 09:54:16,731: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-06-20 09:54:16,743: INFO: common: yaml file: params.yaml loaded successfully]
[2024-06-20 09:54:16,746: INFO: common: yaml file: schema.yaml loaded successfully]
[2024-06-20 09:54:16,746: INFO: common: created directory at: artifacts]
[2024-06-20 09:54:16,749: INFO: common: created directory at: artifacts/data_ingestion]
[2024-06-20 09:58:35,367: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-06-20 09:58:35,369: INFO: common: yaml file: params.yaml loaded successfully]
[2024-06-20 09:58:35,371: INFO: common: yaml file: schema.yaml loaded successfully]
[2024-06-20 09:58:35,372: INFO: common: created directory at: artifacts]
[2024-06-20 09:58:35,373: INFO: common: created directory at: artifacts/data_ingestion]
[2024-06-20 09:58:47,709: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-06-20 09:58:47,712: INFO: common: yaml file: params.yaml loaded successfully]
[2024-06-20 09:58:47,714: INFO: common: yaml file: schema.yaml loaded successfully]
[2024-06-20 09:58:47,716: INFO: common: created directory at: artifacts]
[2024-06-20 09:58:47,717: INFO: common: created directory at: artifacts/data_ingestion]
[2024-06-20 09:59:14,164: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-06-20 09:59:14,167: INFO: common: yaml file: params.yaml loaded successfully]
[2024-06-20 09:59:14,169: INFO: common: yaml file: schema.yaml loaded successfully]
[2024-06-20 09:59:14,170: INFO: common: created directory at: artifacts]
[2024-06-20 09:59:14,171: INFO: common: created directory at: artifacts/data_ingestion]
[2024-06-20 10:00:49,438: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-06-20 10:00:49,440: INFO: common: yaml file: params.yaml loaded successfully]
[2024-06-20 10:00:49,442: INFO: common: yaml file: schema.yaml loaded successfully]
[2024-06-20 10:00:49,443: INFO: common: created directory at: artifacts]
[2024-06-20 10:00:49,445: INFO: common: created directory at: artifacts/data_ingestion]
